2020년_ [기숙사 수용 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),실제 수용 인원,,,"기숙사수용률
(C=B/Ax100)",기숙사 지원자 수(D),,,"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,1인실,,2인실,,3인실,,4인실 이상,
,,,,,,,,,학위과정,,비학위과정,,,,,,,,,,실수,기숙사비,실수,기숙사비,실수,기숙사비,실수,기숙사비
,,,,,,,,,내국인,외국인,외국인,,동일지역,타지역,합계,,,,,,,,,,,,,
2020,대학교,국립,경남,폐교,경남과학기술대학교,"5,276",110,950,220,0,0,18,0,353,353,2,X,직영(구내),제4생활관(창의관),2009,0,0,110,192,0,0,0,0
2020,대학교,사립,경남,기존,경남대학교,"11,620",329,"1,653",0,26,12,14.2,308,"1,344","1,652",1.9,O,직영(구내),제1한마생활관,1995,0,0,307,172.2,20,172.2,2,112.2
2020,대학교,사립,경남,기존,경남대학교,"11,620",11,"1,653",24,0,0,14.2,1,23,24,1.9,X,직영(구내),야구부숙소,1997,0,0,0,0,11,0,0,0
2020,대학교,사립,경남,기존,경남대학교,"11,620",33,"1,653",58,0,0,14.2,5,179,184,1.9,O,직영(구내),건화아파트,1993,0,0,0,0,0,0,33,112.2
2020,대학교,사립,경남,기존,경남대학교,"11,620",117,"1,653",0,0,0,14.2,54,341,395,1.9,O,직영(구내),제3한마생활관,2013,0,0,117,188.4,0,0,0,0
2020,대학교,사립,경남,기존,경남대학교,"11,620",252,"1,653",0,43,4,14.2,118,801,919,1.9,O,직영(구내),제2한마생활관,2004,0,0,246,175.4,0,0,6,175.4
2020,대학교,사립,강원,기존,경동대학교,"1,248",171,790,0,0,0,63.3,0,209,209,0.6,X,직영(구내),숭례원,1999,0,0,121,189.5,50,171.8,0,0
2020,대학교,사립,강원,기존,경동대학교,"1,248",199,790,0,0,0,63.3,0,240,240,0.6,X,직영(구내),양현원,2002,0,0,199,152.8,0,0,0,0
2020,대학교,사립,강원,기존,경동대학교 _제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
2020,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,"4,008",250,"1,016",0,0,0,25.3,13,919,932,1.8,X,행복기숙사,양덕원 B동,2016,3,250.9,247,250.9,0,0,0,0
2020,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,"4,008",261,"1,016",0,0,0,25.3,12,920,932,1.8,X,행복기숙사,양덕원 A동,2015,3,250.9,258,250.9,0,0,0,0
2020,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,"2,265",250,497,0,0,0,21.9,0,543,543,1.1,X,직영(구내),양현원,2016,3,258.5,247,258.5,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",135,"6,967",0,0,0,26.8,0,222,222,1.2,O,직영(구내),성실관(A),1989,0,0,135,133.2,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",81,"6,967",0,0,0,26.8,0,185,185,1.2,O,직영(구내),진리관(E),2000,0,0,76,133.2,5,133.2,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",358,"6,967",0,0,0,26.8,0,737,737,1.2,X,직영(구내),향토관(H),2006,0,0,358,149.5,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",163,"6,967",0,0,0,26.8,0,206,206,1.2,O,직영(구내),화목관(F),2000,0,0,163,133.2,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",681,"6,967",0,0,0,26.8,0,"1,132","1,132",1.2,X,민자(BTL),첨성관(I),2009,0,0,681,149.5,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",97,"6,967",0,0,0,26.8,0,149,149,1.2,O,직영(구내),봉사관(D),1997,3,174.5,89,133.2,5,133.2,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",212,"6,967",0,0,0,26.8,0,352,352,1.2,X,민자(BTL),명의관(J),2009,92,300.8,120,177.1,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",27,"6,967",0,0,0,26.8,0,0,0,1.2,O,직영(구내),간호대학 생활관,1971,1,0,20,0,3,0,3,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",137,"6,967",401,0,0,26.8,15,138,153,1.2,X,직영(구내),근면경애관,2003,13,202.3,54,134.9,0,0,70,112.3
2020,대학교,국립,대구,기존,경북대학교,"26,000",54,"6,967",214,0,0,26.8,2,111,113,1.2,X,직영(구내),자주관,2003,0,0,1,117.9,0,0,53,87.9
2020,대학교,국립,대구,기존,경북대학교,"26,000",159,"6,967",316,0,0,26.8,21,442,463,1.2,X,직영(구내),노악관,2014,2,229.9,157,153.2,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",605,"6,967",0,0,0,26.8,0,"3,311","3,311",1.2,X,민자(BTL),누리관(K),2019,16,340.3,589,170.8,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",98,"6,967",191,3,0,26.8,14,610,624,1.2,X,직영(구내),청운관,2014,2,229.9,96,153.2,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",107,"6,967",0,0,0,26.8,0,175,175,1.2,O,직영(구내),협동관(C),1987,0,0,2,133.2,0,0,105,99.2
2020,대학교,국립,대구,기존,경북대학교,"26,000",26,"6,967",0,0,0,26.8,0,62,62,1.2,O,직영(구내),면학관(G),1996,0,0,26,133.2,0,0,0,0
2020,대학교,국립,대구,기존,경북대학교,"26,000",142,"6,967",0,0,0,26.8,0,104,104,1.2,O,직영(구내),긍지관(B),1982,0,0,5,133.2,0,0,137,99.2
2020,대학교,국립,대구,기존,경북대학교,"26,000",92,"6,967",183,0,0,26.8,6,205,211,1.2,X,직영(구내),창조관,1990,1,168.6,91,112.3,0,0,0,0
